PERMNO,date,TICKER,PRC
16289,2020/08/14,FINX,36.47000
16289,2020/08/17,FINX,37.23000
16289,2020/08/18,FINX,37.31000
16289,2020/08/19,FINX,37.21000
16289,2020/08/20,FINX,37.40000
16289,2020/08/21,FINX,37.26000
16289,2020/08/24,FINX,37.66000
16289,2020/08/25,FINX,38.41000
16289,2020/08/26,FINX,38.81000
16289,2020/08/27,FINX,39.02000
16289,2020/08/28,FINX,39.01000
16289,2020/08/31,FINX,38.99000
16289,2020/09/01,FINX,39.42000
16289,2020/09/02,FINX,39.65000
16289,2020/09/03,FINX,37.78000
16289,2020/09/04,FINX,36.84000
16289,2020/09/08,FINX,35.98000
16289,2020/09/09,FINX,36.90000
16289,2020/09/10,FINX,36.44000
16289,2020/09/11,FINX,36.02500
16289,2020/09/14,FINX,36.58000
16289,2020/09/15,FINX,37.21000
16289,2020/09/16,FINX,37.23000
16289,2020/09/17,FINX,36.76000
16289,2020/09/18,FINX,36.82000
16289,2020/09/21,FINX,36.60000
16289,2020/09/22,FINX,37.49000
16289,2020/09/23,FINX,36.56000
16289,2020/09/24,FINX,36.50000
16289,2020/09/25,FINX,37.17000
16289,2020/09/28,FINX,37.78000
16289,2020/09/29,FINX,38.08000
16289,2020/09/30,FINX,37.97000
16289,2020/10/01,FINX,38.61000
16289,2020/10/02,FINX,38.26000
16289,2020/10/05,FINX,38.89000
16289,2020/10/06,FINX,38.53000
86755,2017/12/13,QQQ,155.99001
86755,2017/12/14,QQQ,155.88000
86755,2017/12/15,QQQ,157.64999
86755,2017/12/18,QQQ,158.64000
86755,2017/12/19,QQQ,157.70000
86755,2017/12/20,QQQ,157.53000
86755,2017/12/21,QQQ,157.55000
86755,2017/12/22,QQQ,157.37000
86755,2017/12/26,QQQ,156.52000
86755,2017/12/27,QQQ,156.53999
86755,2017/12/28,QQQ,156.73000
86755,2017/12/29,QQQ,155.75999
86755,2018/01/02,QQQ,158.49001
86755,2018/01/03,QQQ,160.03000
86755,2018/01/04,QQQ,160.31000
86755,2018/01/05,QQQ,161.92000
86755,2018/01/08,QQQ,162.55000
86755,2018/01/09,QQQ,162.56000
86755,2018/01/10,QQQ,162.17999
86755,2018/01/11,QQQ,163.28999
86755,2018/01/12,QQQ,164.49001
